RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
4645.63,8788.53,38350,10000,1.65,2809.32,-477.666,-9.89514,276.614
4673.73,8783.78,38340,10000,1.66,2809.22,-474.907,-9.92279,275.981
4701.82,8779.06,38330,10000,1.67,2809.12,-472.153,-9.95012,275.349
4729.91,8774.37,38320,10000,1.68,2809.02,-469.406,-9.97714,274.718
4758,8769.7,38310,10000,1.69,2808.92,-466.665,-10.0039,274.087
4786.09,8765.06,38300,10000,1.7,2808.82,-463.93,-10.0303,273.458
4814.17,8760.45,38290,10000,1.71,2808.72,-461.202,-10.0563,272.829
4842.26,8755.86,38280,10000,1.72,2808.62,-458.48,-10.0821,272.201
4870.34,8751.31,38270,10000,1.73,2808.52,-455.764,-10.1076,271.574
4898.43,8746.78,38260,10000,1.74,2808.42,-453.055,-10.1328,270.947
4926.51,8742.27,38250,10000,1.75,2808.32,-450.352,-10.1576,270.321
4954.59,8737.8,38240,10000,1.76,2808.22,-447.655,-10.1822,269.697
4982.67,8733.35,38230,10000,1.77,2808.11,-444.964,-10.2065,269.073
5010.75,8728.92,38220,10000,1.78,2808.01,-442.279,-10.2304,268.449
5038.83,8724.53,38210,10000,1.79,2807.91,-439.601,-10.2541,267.827
5066.91,8720.16,38200,10000,1.8,2807.81,-436.929,-10.2775,267.205
5094.99,8715.82,38190,10000,1.81,2807.7,-434.263,-10.3006,266.585
5123.06,8711.5,38180,10000,1.82,2807.6,-431.604,-10.3233,265.965
5151.14,8707.21,38170,10000,1.83,2807.5,-428.95,-10.3458,265.345
5179.21,8702.95,38160,10000,1.84,2807.39,-426.303,-10.368,264.727
5207.29,8698.71,38150,10000,1.85,2807.29,-423.662,-10.3899,264.109
5235.36,8694.5,38140,10000,1.86,2807.19,-421.027,-10.4115,263.492
5263.43,8690.32,38130,10000,1.87,2807.08,-418.398,-10.4329,262.876
5291.5,8686.16,38120,10000,1.88,2806.98,-415.776,-10.4539,262.261
5319.57,8682.03,38110,10000,1.89,2806.87,-413.159,-10.4746,261.647
5347.64,8677.92,38100,10000,1.9,2806.77,-410.549,-10.4951,261.033
5375.7,8673.84,38090,10000,1.91,2806.66,-407.945,-10.5153,260.42
5403.77,8669.79,38080,10000,1.92,2806.56,-405.346,-10.5352,259.808
5431.83,8665.76,38070,10000,1.93,2806.45,-402.755,-10.5548,259.197
5459.9,8661.76,38060,10000,1.94,2806.34,-400.169,-10.5742,258.586
5487.96,8657.78,38050,10000,1.95,2806.24,-397.589,-10.5932,257.977
5516.02,8653.83,38040,10000,1.96,2806.13,-395.015,-10.612,257.368
5544.08,8649.91,38030,10000,1.97,2806.03,-392.448,-10.6305,256.759
5572.14,8646.01,38020,10000,1.98,2805.92,-389.886,-10.6488,256.152
5600.2,8642.14,38010,10000,1.99,2805.81,-387.331,-10.6667,255.545
5628.25,8638.29,38000,10000,2,2805.71,-384.781,-10.6844,254.94
5656.31,8634.47,37990,10000,2.01,2805.6,-382.238,-10.7018,254.335
5684.36,8630.67,37980,10000,2.02,2805.49,-379.701,-10.719,253.73
5712.42,8626.9,37970,10000,2.03,2805.38,-377.169,-10.7359,253.127
5740.47,8623.15,37960,10000,2.04,2805.28,-374.644,-10.7525,252.524
5768.52,8619.43,37950,10000,2.05,2805.17,-372.125,-10.7688,251.923
5796.57,8615.73,37940,10000,2.06,2805.06,-369.612,-10.7849,251.321
5824.62,8612.06,37930,10000,2.07,2804.95,-367.104,-10.8007,250.721
5852.67,8608.42,37920,10000,2.08,2804.85,-364.603,-10.8163,250.122
5880.72,8604.8,37910,10000,2.09,2804.74,-362.108,-10.8316,249.523
5908.77,8601.2,37900,10000,2.1,2804.63,-359.619,-10.8466,248.925
5936.81,8597.63,37890,10000,2.11,2804.52,-357.135,-10.8614,248.328
5964.85,8594.08,37880,10000,2.12,2804.41,-354.658,-10.8759,247.731
5992.9,8590.56,37870,10000,2.13,2804.3,-352.187,-10.8902,247.136
6020.94,8587.06,37860,10000,2.14,2804.19,-349.721,-10.9042,246.541
6048.98,8583.59,37850,10000,2.15,2804.08,-347.262,-10.9179,245.947
6077.02,8580.14,37840,10000,2.16,2803.98,-344.808,-10.9314,245.354
6105.06,8576.72,37830,10000,2.17,2803.87,-342.361,-10.9447,244.761
6133.1,8573.32,37820,10000,2.18,2803.76,-339.919,-10.9577,244.169
6161.13,8569.94,37810,10000,2.19,2803.65,-337.483,-10.9704,243.578
6189.17,8566.59,37800,10000,2.2,2803.54,-335.053,-10.9829,242.988
6217.2,8563.27,37790,10000,2.21,2803.43,-332.629,-10.9951,242.399
6245.24,8559.97,37780,10000,2.22,2803.32,-330.211,-11.0071,241.81
6273.27,8556.69,37770,10000,2.23,2803.21,-327.799,-11.0189,241.222
6301.3,8553.43,37760,10000,2.24,2803.1,-325.393,-11.0304,240.635
6329.33,8550.2,37750,10000,2.25,2802.99,-322.992,-11.0417,240.049
6357.36,8547,37740,10000,2.26,2802.88,-320.598,-11.0527,239.463
6385.39,8543.82,37730,10000,2.27,2802.76,-318.209,-11.0635,238.878
6413.41,8540.66,37720,10000,2.28,2802.65,-315.826,-11.074,238.294
6441.44,8537.52,37710,10000,2.29,2802.54,-313.449,-11.0843,237.711
6469.46,8534.41,37700,10000,2.3,2802.43,-311.077,-11.0944,237.129
6497.48,8531.32,37690,10000,2.31,2802.32,-308.712,-11.1042,236.547
6525.51,8528.26,37680,10000,2.32,2802.21,-306.352,-11.1138,235.966
6553.53,8525.22,37670,10000,2.33,2802.1,-303.999,-11.1232,235.386
6581.55,8522.2,37660,10000,2.34,2801.99,-301.65,-11.1323,234.807
6609.57,8519.21,37650,10000,2.35,2801.88,-299.308,-11.1412,234.228
6637.58,8516.24,37640,10000,2.36,2801.76,-296.972,-11.1499,233.65
6665.6,8513.3,37630,10000,2.37,2801.65,-294.641,-11.1583,233.073
